,Site,mois,Année,Date,E.coli ,E.coli_qualite,°C,ppt,%,pH
3123,B3,6,2003,6/23/2003,10,Bonne,26.65,37.98,78,8.03
3125,B4,6,2003,6/23/2003,0,Bonne,26.47,38.18,82.6,8.03
3126,B5,6,2003,6/23/2003,182,Moyenne,26.52,38.15,61.7,7.99
3127,B6,6,2003,6/23/2003,87,Bonne,26.53,38.19,79.9,8.05
3137,B1,6,2003,6/30/2003,0,Bonne,26.84,37.87,104.2,8.03
3138,B2,6,2003,6/30/2003,43,Bonne,26.96,38.15,98.9,8.01
3139,B3,6,2003,6/30/2003,0,Bonne,26.93,38.11,102.6,8.04
3141,B4,6,2003,6/30/2003,10,Bonne,26.74,38.21,103.2,8.03
3142,B5,6,2003,6/30/2003,1345,Moyenne,26.9,38.06,75.1,7.95
3143,B6,6,2003,6/30/2003,21,Bonne,26.89,38.23,91.3,7.97
3153,B1,7,2003,7/7/2003,0,Bonne,24.95,38.25,100.8,7.99
3154,B2,7,2003,7/7/2003,302,Moyenne,25.18,38.24,92.5,8.01
3155,B3,7,2003,7/7/2003,0,Bonne,25.14,38.18,98.5,8.03
3157,B4,7,2003,7/7/2003,0,Bonne,25.1,38.25,94.8,7.78
3158,B5,7,2003,7/7/2003,10,Bonne,25.04,38.27,103.5,7.96
3159,B6,7,2003,7/7/2003,10,Bonne,25,38.24,96.5,8.01
3169,B1,7,2003,7/14/2003,0,Bonne,26.65,37.99,94,8.14
3170,B2,7,2003,7/14/2003,98,Bonne,26.42,37.99,74.1,8.06
3171,B3,7,2003,7/14/2003,405,Moyenne,26.62,38,92.2,8.12
3173,B4,7,2003,7/14/2003,10,Bonne,26.64,37.91,97.1,8.15
3174,B5,7,2003,7/14/2003,43,Bonne,26.52,38.01,84.4,8.08
3175,B6,7,2003,7/14/2003,0,Bonne,26.74,38.17,108.2,8.13
3185,B1,7,2003,7/21/2003,0,Bonne,26.54,38.2,91.7,8.06
3186,B2,7,2003,7/21/2003,274,Moyenne,26.76,37.49,81.9,8.03
3187,B3,7,2003,7/21/2003,43,Bonne,26.61,38.23,70.8,8
3189,B4,7,2003,7/21/2003,0,Bonne,26.6,38.17,98.4,8.08
3190,B5,7,2003,7/21/2003,10,Bonne,26.61,38.15,89.1,8.05
3191,B6,7,2003,7/21/2003,32,Bonne,26.65,38.18,88.5,8.06
3201,B1,7,2003,7/28/2003,0,Bonne,26.99,37.91,80.9,8
3202,B2,7,2003,7/28/2003,10,Bonne,27.01,38.08,78,7.97
3203,B3,7,2003,7/28/2003,0,Bonne,27.09,37.57,80.2,7.99
3205,B4,7,2003,7/28/2003,0,Bonne,26.99,38.08,85.5,8.02
3206,B5,7,2003,7/28/2003,652,Moyenne,27.05,38.1,74.3,7.94
3207,B6,7,2003,7/28/2003,0,Bonne,27.08,38.03,87.4,8.03
3217,B1,8,2003,8/4/2003,0,Bonne,26.48,38.04,103.1,8.14
3218,B2,8,2003,8/4/2003,32,Bonne,26.73,38.12,52.5,7.96
3219,B3,8,2003,8/4/2003,0,Bonne,26.52,37.99,96.3,8.12
3221,B4,8,2003,8/4/2003,0,Bonne,26.41,38.04,99.3,8.13
